valid_time,u10,v10,t2m,ssrd,latitude,longitude
2024-01-12 00:00:00,1.622879,-0.7783966,272.43503,0.0,53.0,8.75
2024-01-12 01:00:00,1.8497925,-1.0625,272.57346,0.0,53.0,8.75
2024-01-12 02:00:00,1.7085571,-1.0435028,272.43274,0.0,53.0,8.75
2024-01-12 03:00:00,1.6430359,-0.122161865,272.25372,0.0,53.0,8.75
2024-01-12 04:00:00,1.9672699,0.52282715,272.2744,0.0,53.0,8.75
2024-01-12 05:00:00,2.2491608,0.6812439,272.2864,0.0,53.0,8.75
2024-01-12 06:00:00,2.5244904,0.8206177,272.5268,0.0,53.0,8.75
2024-01-12 07:00:00,2.7329254,0.76852417,272.69205,0.0,53.0,8.75
2024-01-12 08:00:00,2.8908997,1.1147003,273.07196,3200.0,53.0,8.75
2024-01-12 09:00:00,3.330429,1.5347748,273.39264,64256.0,53.0,8.75
2024-01-12 10:00:00,3.1852112,1.0548553,274.07947,150528.0,53.0,8.75
2024-01-12 11:00:00,3.3322601,1.0713043,274.2943,200960.0,53.0,8.75
2024-01-12 12:00:00,3.5102997,0.8377991,274.95416,310848.0,53.0,8.75
2024-01-12 13:00:00,3.5961456,0.25758362,275.58237,335040.0,53.0,8.75
2024-01-12 14:00:00,3.455536,-0.40179443,275.83624,220416.0,53.0,8.75
2024-01-12 15:00:00,3.4093475,-0.99346924,276.0699,134272.0,53.0,8.75
2024-01-12 16:00:00,3.2350159,-1.0745697,276.0661,12672.0,53.0,8.75
2024-01-12 17:00:00,3.2116394,-0.84043884,275.76553,0.0,53.0,8.75
2024-01-12 18:00:00,3.3076782,-0.4109192,275.6493,0.0,53.0,8.75
2024-01-12 19:00:00,3.5707397,-0.097335815,275.39734,0.0,53.0,8.75
2024-01-12 20:00:00,3.7687225,-0.08894348,275.21942,0.0,53.0,8.75
2024-01-12 21:00:00,3.8382568,-0.009109497,275.03076,0.0,53.0,8.75
2024-01-12 22:00:00,3.8347778,0.3730774,274.99298,0.0,53.0,8.75
2024-01-12 23:00:00,3.8867035,0.7095337,275.07867,0.0,53.0,8.75
2024-01-13 00:00:00,3.9601593,0.66459656,275.07935,0.0,53.0,8.75
2024-01-13 01:00:00,4.064743,0.60668945,275.22443,0.0,53.0,8.75
2024-01-13 02:00:00,4.0734863,0.9343872,275.20905,0.0,53.0,8.75
2024-01-13 03:00:00,4.145859,1.2771606,275.38223,0.0,53.0,8.75
2024-01-13 04:00:00,4.4742584,1.1156464,275.40674,0.0,53.0,8.75
2024-01-13 05:00:00,4.6932526,1.2041779,275.44458,0.0,53.0,8.75
2024-01-13 06:00:00,4.847229,1.4983978,275.50287,0.0,53.0,8.75
2024-01-13 07:00:00,4.932892,1.6819305,275.55896,0.0,53.0,8.75
2024-01-13 08:00:00,5.129776,1.8740387,275.64093,3200.0,53.0,8.75
2024-01-13 09:00:00,5.501953,1.7950897,275.73273,45376.0,53.0,8.75
2024-01-13 10:00:00,5.2800293,1.6988678,275.83087,81216.0,53.0,8.75
2024-01-13 11:00:00,5.5345917,1.6074371,276.07635,115776.0,53.0,8.75
2024-01-13 12:00:00,5.816162,1.5442657,276.2573,134016.0,53.0,8.75
2024-01-13 13:00:00,6.0467834,1.6682281,276.42102,138560.0,53.0,8.75
2024-01-13 14:00:00,6.198059,1.3706665,276.55066,120000.0,53.0,8.75
2024-01-13 15:00:00,6.0098724,1.0082397,276.84863,65664.0,53.0,8.75
2024-01-13 16:00:00,5.628357,0.6206207,276.67395,13824.0,53.0,8.75
2024-01-13 17:00:00,5.584488,0.18432617,276.5738,0.0,53.0,8.75
2024-01-13 18:00:00,5.6378174,0.096466064,276.7494,0.0,53.0,8.75
2024-01-13 19:00:00,5.8404846,0.51304626,276.73755,0.0,53.0,8.75
2024-01-13 20:00:00,6.2016144,0.9400177,276.85132,0.0,53.0,8.75
2024-01-13 21:00:00,6.5632935,0.71899414,277.06042,0.0,53.0,8.75
2024-01-13 22:00:00,6.149185,-0.03704834,277.1327,0.0,53.0,8.75
2024-01-13 23:00:00,5.897949,0.010238647,277.07532,0.0,53.0,8.75
2024-01-14 00:00:00,5.7612915,-0.03945923,277.0105,0.0,53.0,8.75
2024-01-14 01:00:00,5.641098,-0.17088318,276.9591,0.0,53.0,8.75
2024-01-14 02:00:00,5.339218,-0.46076965,276.726,0.0,53.0,8.75
2024-01-14 03:00:00,5.396103,-1.068161,276.30298,0.0,53.0,8.75
2024-01-14 04:00:00,5.045059,-1.1461334,276.09192,0.0,53.0,8.75
2024-01-14 05:00:00,4.7444763,-0.78352356,275.61108,0.0,53.0,8.75
2024-01-14 06:00:00,4.537628,-0.17451477,275.5756,0.0,53.0,8.75
2024-01-14 07:00:00,4.512329,0.31495667,275.2453,0.0,53.0,8.75
2024-01-14 08:00:00,4.5921783,0.71343994,275.29236,9856.0,53.0,8.75
